timestamp, utilization.gpu [%]
2025/01/21 17:48:17.108, 0 %
2025/01/21 17:48:17.316, 0 %
2025/01/21 17:48:17.516, 0 %
2025/01/21 17:48:17.717, 0 %
2025/01/21 17:48:17.917, 0 %
2025/01/21 17:48:18.117, 0 %
2025/01/21 17:48:18.317, 0 %
2025/01/21 17:48:18.517, 0 %
2025/01/21 17:48:18.717, 0 %
2025/01/21 17:48:18.917, 0 %
2025/01/21 17:48:19.117, 0 %
2025/01/21 17:48:19.318, 0 %
2025/01/21 17:48:19.518, 0 %
2025/01/21 17:48:19.718, 0 %
2025/01/21 17:48:19.918, 0 %
2025/01/21 17:48:20.118, 0 %
2025/01/21 17:48:20.318, 0 %
2025/01/21 17:48:20.518, 0 %
2025/01/21 17:48:20.718, 0 %
2025/01/21 17:48:20.919, 0 %
2025/01/21 17:48:21.119, 0 %
2025/01/21 17:48:21.319, 0 %
2025/01/21 17:48:21.519, 0 %
2025/01/21 17:48:21.719, 0 %
2025/01/21 17:48:21.919, 0 %
2025/01/21 17:48:22.119, 0 %
2025/01/21 17:48:22.319, 0 %
2025/01/21 17:48:22.519, 0 %
2025/01/21 17:48:22.720, 0 %
2025/01/21 17:48:22.920, 0 %
2025/01/21 17:48:23.120, 0 %
2025/01/21 17:48:23.320, 0 %
2025/01/21 17:48:23.520, 0 %
2025/01/21 17:48:23.720, 0 %
2025/01/21 17:48:23.920, 0 %
2025/01/21 17:48:24.120, 0 %
2025/01/21 17:48:24.321, 1 %
2025/01/21 17:48:24.521, 0 %
2025/01/21 17:48:24.721, 0 %
2025/01/21 17:48:24.921, 0 %
2025/01/21 17:48:25.121, 0 %
2025/01/21 17:48:25.321, 2 %
2025/01/21 17:48:25.521, 0 %
2025/01/21 17:48:25.721, 0 %
2025/01/21 17:48:25.922, 0 %
2025/01/21 17:48:26.122, 0 %
2025/01/21 17:48:26.322, 2 %
2025/01/21 17:48:26.522, 0 %
2025/01/21 17:48:26.722, 0 %
2025/01/21 17:48:26.922, 0 %
2025/01/21 17:48:27.122, 0 %
2025/01/21 17:48:27.322, 2 %
2025/01/21 17:48:27.523, 0 %
2025/01/21 17:48:27.723, 0 %
2025/01/21 17:48:27.923, 0 %
2025/01/21 17:48:28.123, 0 %
2025/01/21 17:48:28.323, 2 %
2025/01/21 17:48:28.523, 23 %
2025/01/21 17:48:28.723, 17 %
2025/01/21 17:48:28.923, 20 %
2025/01/21 17:48:29.124, 19 %
2025/01/21 17:48:29.324, 17 %
2025/01/21 17:48:29.524, 18 %
2025/01/21 17:48:29.724, 21 %
2025/01/21 17:48:29.924, 19 %
2025/01/21 17:48:30.124, 19 %
2025/01/21 17:48:30.324, 18 %
2025/01/21 17:48:30.524, 18 %
2025/01/21 17:48:30.725, 17 %
2025/01/21 17:48:30.925, 19 %
2025/01/21 17:48:31.125, 20 %
2025/01/21 17:48:31.325, 17 %
2025/01/21 17:48:31.525, 17 %
2025/01/21 17:48:31.725, 20 %
2025/01/21 17:48:31.925, 19 %
2025/01/21 17:48:32.125, 18 %
2025/01/21 17:48:32.325, 18 %
2025/01/21 17:48:32.526, 18 %
2025/01/21 17:48:32.726, 18 %
2025/01/21 17:48:32.926, 17 %
2025/01/21 17:48:33.126, 17 %
2025/01/21 17:48:33.326, 19 %
2025/01/21 17:48:33.526, 19 %
2025/01/21 17:48:33.726, 18 %
2025/01/21 17:48:33.926, 17 %
2025/01/21 17:48:34.127, 17 %
2025/01/21 17:48:34.327, 19 %
